REPORTING_DATE,ORIG_MONTH,loans,current_accounts,arrears_accounts,default_accounts,closed_accounts,current_rate,arrears_rate,default_rate,closed_rate
2025-09-30,2025-02,651,329,122,264,92,0.5053763440860215,0.18740399385560677,0.4055299539170507,0.141321044546851
2025-09-30,2025-03,828,390,182,261,119,0.47101449275362317,0.21980676328502416,0.31521739130434784,0.14371980676328502
2025-09-30,2025-04,858,731,294,277,138,0.8519813519813519,0.34265734265734266,0.32284382284382285,0.16083916083916083
2025-09-30,2025-05,1051,1290,530,374,96,1.2274024738344433,0.5042816365366318,0.3558515699333968,0.09134157944814462
2025-09-30,2025-06,957,936,434,161,96,0.9780564263322884,0.4535005224660397,0.16823406478578892,0.10031347962382445
2025-09-30,2025-07,989,900,466,9,55,0.910010111223458,0.4711830131445905,0.00910010111223458,0.055611729019211326
2025-09-30,2025-08,988,947,251,0,95,0.958502024291498,0.2540485829959514,0.0,0.09615384615384616
2025-09-30,2025-09,996,1202,180,0,81,1.2068273092369477,0.18072289156626506,0.0,0.08132530120481928
2025-12-30,2023-02,14,0,0,6,8,0.0,0.0,0.42857142857142855,0.5714285714285714
2025-12-30,2023-03,15,0,0,5,10,0.0,0.0,0.3333333333333333,0.6666666666666666
2025-12-30,2023-04,25,0,0,13,12,0.0,0.0,0.52,0.48
2025-12-30,2023-05,56,0,0,29,27,0.0,0.0,0.5178571428571429,0.48214285714285715
2025-12-30,2023-06,106,0,0,57,49,0.0,0.0,0.5377358490566038,0.46226415094339623
2025-12-30,2023-07,99,0,0,49,50,0.0,0.0,0.494949494949495,0.5050505050505051
2025-12-30,2023-08,144,0,0,74,70,0.0,0.0,0.5138888888888888,0.4861111111111111
2025-12-30,2023-09,287,0,0,152,135,0.0,0.0,0.5296167247386759,0.47038327526132406
2025-12-30,2023-10,303,0,0,165,142,0.0,0.0,0.5445544554455446,0.46864686468646866
2025-12-30,2023-11,304,1,0,154,149,0.003289473684210526,0.0,0.506578947368421,0.4901315789473684
2025-12-30,2023-12,409,0,0,200,209,0.0,0.0,0.4889975550122249,0.511002444987775
2025-12-30,2024-01,238,0,0,97,141,0.0,0.0,0.40756302521008403,0.592436974789916
2025-12-30,2024-02,325,0,0,161,170,0.0,0.0,0.49538461538461537,0.5230769230769231
2025-12-30,2024-03,441,1,0,234,207,0.0022675736961451248,0.0,0.5306122448979592,0.46938775510204084
2025-12-30,2024-04,525,0,0,283,243,0.0,0.0,0.539047619047619,0.46285714285714286
2025-12-30,2024-05,572,0,0,303,269,0.0,0.0,0.5297202797202797,0.47027972027972026
2025-12-30,2024-06,650,0,0,355,297,0.0,0.0,0.5461538461538461,0.45692307692307693
2025-12-30,2024-07,839,1,0,442,403,0.0011918951132300357,0.0,0.5268176400476758,0.4803337306317044
2025-12-30,2024-08,716,1,0,424,294,0.0013966480446927375,0.0,0.5921787709497207,0.4106145251396648
2025-12-30,2024-09,612,0,0,351,263,0.0,0.0,0.5735294117647058,0.4297385620915033
2025-12-30,2024-10,655,0,2,357,308,0.0,0.0030534351145038168,0.5450381679389313,0.47022900763358777
2025-12-30,2024-11,739,0,10,389,453,0.0,0.013531799729364006,0.5263870094722598,0.6129905277401895
2025-12-30,2024-12,861,0,45,476,522,0.0,0.05226480836236934,0.5528455284552846,0.6062717770034843
2025-12-30,2025-01,611,133,72,323,212,0.2176759410801964,0.11783960720130933,0.5286415711947627,0.3469721767594108
2025-12-30,2025-02,651,254,109,320,124,0.3901689708141321,0.1674347158218126,0.4915514592933948,0.19047619047619047
2025-12-30,2025-03,828,310,159,347,136,0.3743961352657005,0.19202898550724637,0.4190821256038647,0.1642512077294686
2025-12-30,2025-04,858,534,307,416,183,0.6223776223776224,0.3578088578088578,0.48484848484848486,0.21328671328671328
2025-12-30,2025-05,1051,997,467,672,154,0.9486203615604186,0.44433872502378685,0.6393910561370124,0.14652711703139867
2025-12-30,2025-06,957,704,367,437,119,0.735632183908046,0.3834900731452456,0.4566353187042842,0.12434691745036573
2025-12-30,2025-07,989,669,334,345,82,0.6764408493427705,0.33771486349848334,0.3488372093023256,0.08291203235591507
2025-12-30,2025-08,988,671,326,180,116,0.6791497975708503,0.3299595141700405,0.18218623481781376,0.11740890688259109
2025-12-30,2025-09,996,799,424,128,112,0.8022088353413654,0.42570281124497994,0.1285140562248996,0.11244979919678715
2025-12-30,2025-10,1061,765,446,2,94,0.7210179076343073,0.4203581526861451,0.001885014137606032,0.0885956644674835
2025-12-30,2025-11,1311,1209,547,0,54,0.9221967963386728,0.41723874904652936,0.0,0.041189931350114416
2025-12-30,2025-12,1506,2488,576,0,36,1.652058432934927,0.38247011952191234,0.0,0.02390438247011952
